ChickID,"Developed, High Intensity","Developed, Low Intensity",Crop Rotation,Cranberries,Forage Grassland,Idle Grassland,Coniferous Forest,Broad-leaved Deciduous Forest,Mixed Deciduous/Coniferous Forest,Open Water,Floating Aquatic Herbaceous Vegetation,Emergent/Wet Meadow,Lowland Scrub/Shrub,Forested Wetland,Barren,Shrubland
W1_06,0,0,0,0,0,259,10,314,0,1112,127,1453,279,1547,11,0
W2_06,0,0,0,0,0,259,10,314,0,1112,127,1453,279,1547,11,0
W1_09,0,0,183,0,7,0,217,3251,0,105,466,164,30,692,0,0
W2_09,0,0,0,0,0,636,272,727,0,36,0,554,555,2319,15,0
W1_10,0,43,0,0,0,102,12,239,0,1625,125,1998,118,852,0,0
W2_10,0,43,0,0,0,102,12,239,0,1625,125,1998,118,852,0,0
W3_10,0,9,0,0,0,0,270,3374,0,25,466,148,37,773,0,0
W4_10,0,0,0,0,0,0,0,741,0,357,32,2761,205,1019,0,0
W5_10,0,0,0,0,0,0,0,741,0,357,32,2761,205,1019,0,0
W6_10,0,0,0,0,0,0,183,467,0,0,0,1022,714,2723,0,0
W7_10,0,0,0,0,0,8,41,432,0,122,26,2645,951,886,0,0
W1_11,0,0,0,0,0,70,453,808,0,115,0,799,18,2856,0,0
W2_11,0,0,0,0,0,36,31,1097,0,278,32,2571,118,939,0,0
W3_11,0,0,0,0,0,59,85,221,0,21,0,2748,154,1812,0,0
W4_11,0,5,0,0,0,694,490,957,0,1300,2,534,223,882,15,0
W1_12,0,4,0,0,21,0,129,3582,0,12,466,133,40,722,0,0
W2_12,0,0,0,0,0,9,1650,2432,0,156,10,429,137,234,49,0
W3_12,0,0,0,0,0,9,1650,2432,0,156,10,429,137,234,49,0
W4_12,0,23,0,0,0,151,273,1328,0,586,0,1313,45,1390,7,0
W5_12,0,0,0,0,0,74,0,43,0,1116,134,2089,175,1480,0,0
W6_12,0,0,0,0,0,0,408,685,0,595,22,2417,135,849,0,0
W7_12,0,0,0,0,0,389,25,441,0,1228,106,1355,261,1293,15,0
W8_12,0,0,0,0,0,75,229,291,0,15,0,2106,123,2275,0,0
W9_12,0,0,0,0,0,42,679,980,0,0,0,1646,210,1554,0,0
W1_13,0,0,0,0,0,0,0,738,0,703,783,1100,118,1664,0,0
W2_13,0,0,0,0,0,0,0,738,0,703,783,1100,118,1664,0,0
W3_13,0,49,0,0,0,104,12,360,0,1706,99,1978,107,699,0,0
W1_14,0,0,0,0,0,44,265,354,0,15,0,1663,123,2648,0,0
W2_14,0,0,0,0,0,44,265,354,0,15,0,1663,123,2648,0,0
W3_14,0,0,191,0,13,0,228,3203,0,121,466,164,30,693,0,0
W4_14,0,97,188,727,934,602,189,1019,0,622,0,146,35,527,19,0
W5_14,0,97,188,727,934,602,189,1019,0,622,0,146,35,527,19,0
W6_14,0,5,0,0,0,89,356,1396,0,479,0,1362,1,1416,5,0
W7_14,0,5,0,0,0,89,356,1396,0,479,0,1362,1,1416,5,0
W8_14,0,0,0,0,0,11,132,347,0,315,68,826,372,3040,0,0
W9_14,0,0,0,0,0,11,132,347,0,315,68,826,372,3040,0,0
W10_14,0,0,0,0,0,718,250,775,0,84,0,558,560,2153,15,0
W11_14,0,0,0,0,0,718,250,775,0,84,0,558,560,2153,15,0
